Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.004,0.009,0.005,0.011,0.014,0.040,0.015,0.023
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,0.000,,0.000,,0.021,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Volpatti,,,,,,,,,,,,,,,
Aaron Voros,0.013,0.000,,,,,,,,,,,,,
Aaron Ward,0.000,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.011,0.017,0.010
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,,,,,0.028,,,,,,,,,,
Adam Clendening,,,,,,,,0.023,,0.000,,,,,
Adam Cracknell,,,,,,,,,,,,,,,
Adam Erne,,,,,,,,,,,,0.000,0.000,0.029,0.000
Adam Foote,0.000,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.051,0.035,0.082
Adam Gaudette,,,,,,,,,,,,0.013,0.011,0.025,0.000
Adam Hall,,,,,,,,,,,,,,,
Adam Henrique,,,,,0.032,0.009,0.012,0.046,0.014,0.015,0.015,0.011,0.012,0.000,0.040
Adam Larsson,,,,,0.028,,,,,,,,,,
Adam Lowry,,,,,,,,0.022,,0.014,0.000,,,0.023,0.014
Adam Mair,,,,,,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.021,0.006,0.019,0.000,0.000,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.022,0.018,0.029,0.050,0.022
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.000,,,,,
Alec Martinez,,,,0.019,0.033,0.000,0.016,0.028,0.039,0.040,0.040,0.027,0.028,0.013,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,0.014,0.006,0.027,0.028,0.022,0.031,0.027,0.045,0.026
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.045,0.043,0.060,0.039,0.007,0.010,0.028,0.027,0.008,,,,,,
Ales Kotalik,0.019,0.019,0.009,0.000,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,0.000,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.015,0.021,0.000,0.000,0.000,0.026,0.035,0.007,0.024
Alex DeBrincat,,,,,,,,,,,0.024,0.030,0.017,0.015,0.027
Alex Formenton,,,,,,,,,,,,,,,0.000
Alex Frolov,0.012,0.027,0.021,0.000,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.020,0.038,0.017,0.024,0.029,0.021,0.030,0.041,0.000,0.000
Alex Goligoski,,0.017,0.023,0.024,0.018,0.051,0.022,0.029,0.012,0.017,0.033,0.021,0.015,0.036,0.023
Alex Grant,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,0.025,0.015,0.017,0.019,0.009
