Player,Model I,Model II,2021-22 Actual Score
Lars Eller,0.1614,0.1507,0.1091
Derek Stepan,0.0945,0.1019,0.0000
Joonas Donskoi,0.1809,0.1983,0.1297
Nick Cousins,0.0847,0.0794,0.1241
Boone Jenner,0.0961,0.0940,0.1818
Vladislav Namestnikov,0.0949,0.0877,0.0296
Radek Faksa,0.1055,0.0989,0.1115
Oliver Bjorkstrand,0.2744,0.2682,0.1958
Miles Wood,0.1211,0.1153,0.0000
Kasperi Kapanen,0.0946,0.0883,0.1015
Jared McCann,0.2070,0.2263,0.3519
Drake Batherson,0.1300,0.1390,0.1066
Jordan Staal,0.1511,0.1554,0.0904
Mikael Backlund,0.1587,0.1685,0.2043
Alec Martinez,0.2002,0.2109,0.0000
Calle Jarnkrok,0.1802,0.1859,0.0873
Travis Boyd,0.1033,0.1028,0.0983
Victor Rask,0.0948,0.0992,0.1678
Adam Erne,0.1298,0.1293,0.0409
Victor Olofsson,0.2132,0.2105,0.2937
Rasmus Andersson,0.1654,0.1734,0.1769
Anthony Beauvillier,0.1778,0.1911,0.2703
Ivan Provorov,0.1643,0.1578,0.1583
Adam Gaudette,0.1428,0.1403,0.2846
Charlie McAvoy,0.1133,0.1042,0.0946
Sam Steel,0.1286,0.1281,0.1139
Nolan Patrick,0.1157,0.1165,0.1198
Quinn Hughes,0.1764,0.1756,0.1749
Filip Zadina,0.2445,0.2406,0.2402
Sam Gagner,0.1607,0.1544,0.1144
Dmitry Orlov,0.1054,0.1216,0.1350
Erik Haula,0.1519,0.1468,0.1910
Tyler Pitlick,0.0702,0.0742,0.3614
Mike Reilly,0.1676,0.1874,0.1906
Jonas Brodin,0.0761,0.0791,0.1271
Connor Brown,0.1314,0.1281,0.0831
Mattias Janmark,0.1458,0.1413,0.1104
Andre Burakovsky,0.1903,0.1925,0.1745
Zach Sanford,0.1769,0.1756,0.1358
Christian Dvorak,0.1387,0.1401,0.1094
Denis Gurianov,0.2260,0.2230,0.2163
Anthony Cirelli,0.0967,0.0956,0.1206
Carl Grundstrom,0.1962,0.1961,0.1515
Jesse Puljujarvi,0.1615,0.1636,0.2829
Max Jones,0.2203,0.2346,0.0000
Tage Thompson,0.1742,0.1680,0.2769
Kailer Yamamoto,0.1379,0.1372,0.2103
Eeli Tolvanen,0.2837,0.2830,0.2349
Sean Walker,0.1449,0.1298,0.1887
Justin Dowling,0.0767,0.0763,0.0000
Zach Hyman,0.2192,0.2398,0.1645
Bryan Rust,0.1906,0.1947,0.2374
Jesper Fast,0.0338,0.0353,0.0864
Colin Blackwell,0.2324,0.2316,0.2025
Adam Lowry,0.2058,0.2053,0.0697
Jean-Gabriel Pageau,0.1395,0.1341,0.0937
Chandler Stephenson,0.1130,0.1137,0.1474
Andrew Copp,0.1901,0.1981,0.2005
Ryan Hartman,0.0859,0.0852,0.2293
Brett Pesce,0.0761,0.0806,0.1879
Valeri Nichushkin,0.1109,0.1222,0.1114
Ryan Carpenter,0.0969,0.0942,0.1205
Robby Fabbri,0.0848,0.0737,0.1355
Michael Amadio,0.1312,0.1247,0.0000
Andrew Mangiapane,0.1219,0.1169,0.2034
Jordan Greenway,0.1412,0.1560,0.0887
Joel Eriksson Ek,0.1129,0.1150,0.2131
Mason Appleton,0.1707,0.1746,0.0839
Dillon Dube,0.1785,0.1793,0.2216
Jordan Kyrou,0.1179,0.1155,0.2126
Jake Bean,0.1801,0.1825,0.0792
Janne Kuokkanen,0.1478,0.1553,0.1896
Trevor Moore,0.1007,0.1025,0.2383
Jaret Anderson-Dolan,0.1959,0.2010,0.0000
Max Comtois,0.1415,0.1355,0.1080
Martin Necas,0.2013,0.2000,0.1866
Erik Brannstrom,0.1556,0.1531,0.0266
Cale Makar,0.1934,0.1989,0.1905
Nick Suzuki,0.1639,0.1603,0.1703
Adam Fox,0.1571,0.1530,0.1650
Kaapo Kakko,0.1526,0.1448,0.1508
Jack Hughes,0.1754,0.1703,0.1999
Dominik Kubalik,0.2641,0.2705,0.2826
Cody Glass,0.1364,0.1372,0.0662
John Marino,0.0783,0.0929,0.1038
Kirby Dach,0.1151,0.1094,0.1506
Gabriel Vilardi,0.1647,0.1665,0.2679
Joel Farabee,0.1818,0.1867,0.1217
Adam Boqvist,0.1474,0.1403,0.0992
Carter Verhaeghe,0.1032,0.1045,0.1045
Jason Robertson,0.1170,0.1111,0.2222
Alexandre Texier,0.1042,0.0995,0.0000
Noah Dobson,0.1433,0.1473,0.1614
Mario Ferraro,0.0881,0.0918,0.0842
Morgan Geekie,0.2295,0.2334,0.2126
Josh Norris,0.2495,0.2531,0.3198
Oliver Wahlstrom,0.3370,0.3396,0.3467
Barrett Hayton,0.0564,0.0410,0.1082
Kirill Kaprizov,0.2201,0.2215,0.2683
Tim Stützle,0.2387,0.2456,0.1875
Ty Smith,0.1625,0.1675,0.0464
Alex Wennberg,0.1218,0.1218,0.1267
Philipp Kurashev,0.1907,0.1964,0.0617
Michael Bunting,0.1287,0.1298,0.1251
Brandon Hagel,0.1114,0.1176,0.1336
Owen Tippett,0.3192,0.3250,0.1962
Pius Suter,0.1689,0.1702,0.1254
Yegor Sharangovich,0.0703,0.0640,0.1318
K'Andre Miller,0.0908,0.0962,0.1717
Alexander Romanov,0.1123,0.1151,0.0000
John Leonard,0.1398,0.1483,0.0882
Dylan Cozens,0.1445,0.1491,0.1314
Nils Hoglander,0.1381,0.1366,0.3226
Jamie Drysdale,0.1645,0.1669,0.1077
Trevor Zegras,0.2995,0.2986,0.1727
Alexis Lafrenière,0.0453,0.0260,0.1380
